Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
X2	DOID:3179	inverted papilloma	6/437	10/8007	4.44760071572949e-06	0.00326898652606118	0.00264047031965414	6624/1956/1029/4488/332/4288	6
X2	DOID:2615	papilloma	7/437	16/8007	1.0230866259008e-05	0.00375984335018544	0.00303695187898975	6624/1956/5915/1029/4488/332/4288	7
X2	DOID:5683	hereditary breast ovarian cancer	28/437	222/8007	2.63686941557497e-05	0.00646033006815867	0.00521822579082204	1956/2146/3480/2261/5888/5915/641/2272/1029/3161/3479/8626/11200/2048/2296/3202/4214/2099/10499/4683/405/24137/59348/259266/6041/54583/8315/6772	28
X2	DOID:0050736	autosomal dominant disease	42/437	409/8007	4.74716666164172e-05	0.00872291874076665	0.00704579472938402	1956/5310/5054/3383/2146/3480/2166/2261/2245/5888/5915/2395/641/4487/2272/1029/3161/185/3551/6452/3479/8626/332/11200/2048/6654/2296/6444/3202/4214/2099/10499/4683/405/24137/59348/259266/6041/54583/1760/8315/6772	42
X2	DOID:9119	acute myeloid leukemia	17/437	107/8007	6.05032993492782e-05	0.0088939850043439	0.00718397070168272	5359/3480/864/6402/355/5888/5915/4330/865/1029/4629/3479/3620/3757/332/10499/5914	17
X2	DOID:0060100	musculoskeletal system cancer	42/437	439/8007	0.000233866434006092	0.0254823807396984	0.0205829756350733	6624/1956/27122/1719/4067/3383/1001/2146/890/3480/701/3489/3791/1902/9759/2152/2261/2348/637/355/5915/8434/5154/5325/1029/6850/3479/6573/8626/9353/7177/6373/332/4288/6654/2078/57125/4856/2099/5914/6648/1191	42
X2	DOID:8692	myeloid leukemia	19/437	142/8007	0.00024268934037808	0.0254823807396984	0.0205829756350733	5359/4067/3480/3791/864/6402/355/5888/5915/4330/865/1029/4629/3479/3620/3757/332/10499/5914	19
X4	DOID:120	female reproductive organ cancer	45/436	455/8007	5.99493750011275e-05	0.0298437737944731	0.0271504808977274	2950/7057/7078/6513/7153/7874/214/4171/5590/5159/7298/6279/857/5156/6387/596/2067/4318/4316/6286/1909/1462/10468/5591/8678/3428/10103/123/2353/7852/7508/10418/4646/983/367/4680/5595/7422/10000/23234/3643/51447/6648/1978/57535	45
X4	DOID:4905	pancreatic carcinoma	28/436	237/8007	8.26697335026957e-05	0.0298437737944731	0.0271504808977274	7057/7153/4860/1786/6241/6768/5899/5590/7298/857/6416/6387/596/4318/4316/977/6286/3159/1500/7430/7852/3551/2191/4680/9112/7422/1287/5898	28
X5	DOID:2621	autonomic nervous system neoplasm	45/481	375/8007	5.29619052903209e-06	0.00189281127476039	0.00151257996605266	7832/7153/23463/1994/332/4739/2308/4683/2729/274/5925/4085/6502/3480/3162/5293/4137/842/6790/5550/1017/8842/10626/283/7799/100507436/23405/5127/5764/3479/1029/1033/8567/27101/4772/5724/6591/23090/6648/5621/6347/1810/23462/4915/6376	45
X5	DOID:769	neuroblastoma	45/481	375/8007	5.29619052903209e-06	0.00189281127476039	0.00151257996605266	7832/7153/23463/1994/332/4739/2308/4683/2729/274/5925/4085/6502/3480/3162/5293/4137/842/6790/5550/1017/8842/10626/283/7799/100507436/23405/5127/5764/3479/1029/1033/8567/27101/4772/5724/6591/23090/6648/5621/6347/1810/23462/4915/6376	45
X5	DOID:987	alopecia	13/481	52/8007	8.23845135500148e-06	0.00189281127476039	0.00151257996605266	3383/355/3572/100507436/11168/3479/947/367/4763/2210/6347/55131/958	13
X5	DOID:1192	peripheral nervous system neoplasm	46/481	396/8007	9.91000667413815e-06	0.00189281127476039	0.00151257996605266	7832/7153/23463/1994/332/4739/2308/4683/2729/274/5925/4085/6502/3480/3162/5293/4137/842/6790/5550/1017/8842/10626/283/7799/100507436/23405/5127/5764/3479/1029/1033/8567/27101/4772/5724/4763/6591/23090/6648/5621/6347/1810/23462/4915/6376	46
X5	DOID:4535	hypotrichosis	13/481	59/8007	3.56436003918568e-05	0.00544634213987573	0.00435227120574252	3383/355/3572/100507436/11168/3479/947/367/4763/2210/6347/55131/958	13
X5	DOID:0060116	sensory system cancer	21/481	139/8007	7.62779276722988e-05	0.00832519096309089	0.00665281173683207	332/3383/4683/5925/1612/983/1871/1017/3667/1009/3479/1029/9590/4162/6573/367/4763/657/7021/55038/4915	21
X5	DOID:2174	ocular cancer	21/481	139/8007	7.62779276722988e-05	0.00832519096309089	0.00665281173683207	332/3383/4683/5925/1612/983/1871/1017/3667/1009/3479/1029/9590/4162/6573/367/4763/657/7021/55038/4915	21
X5	DOID:3459	breast carcinoma	42/481	383/8007	9.45895878822024e-05	0.00881309785234137	0.00704270701895563	2101/7832/7153/3852/10133/332/6566/2633/3383/140885/4683/6776/5925/1612/858/4085/6304/6280/6502/3480/2952/6790/4751/6715/1890/100507436/23405/10553/7415/4436/6548/3479/1029/4582/8829/6777/4128/6591/6648/6347/64766/5361	42
X5	DOID:421	hair disease	13/481	65/8007	0.000103819215538053	0.00881309785234137	0.00704270701895563	3383/355/3572/100507436/11168/3479/947/367/4763/2210/6347/55131/958	13
X5	DOID:4451	renal carcinoma	41/481	380/8007	0.000164004728163704	0.0110783932765824	0.00885294585342768	4035/7345/1994/332/2621/3910/7083/4683/133/7159/1612/4085/6502/3480/2487/2952/5550/3455/3249/283/9370/4436/3479/947/1029/6772/27101/10395/27429/367/4582/8829/29072/57007/8880/7021/6648/6347/79960/6421/958	41
X5	DOID:768	retinoblastoma	18/481	116/8007	0.000174006177119096	0.0110783932765824	0.00885294585342768	332/4683/5925/1612/983/1871/1017/3667/1009/3479/1029/9590/6573/367/657/7021/55038/4915	18
X5	DOID:771	retinal cell cancer	18/481	116/8007	0.000174006177119096	0.0110783932765824	0.00885294585342768	332/4683/5925/1612/983/1871/1017/3667/1009/3479/1029/9590/6573/367/657/7021/55038/4915	18
X5	DOID:4645	retinal cancer	18/481	118/8007	0.000216997109908737	0.0127527532284827	0.0101909573884265	332/4683/5925/1612/983/1871/1017/3667/1009/3479/1029/9590/6573/367/657/7021/55038/4915	18
X5	DOID:0060100	musculoskeletal system cancer	45/481	439/8007	0.000257449711726081	0.0140493985541947	0.011227130285799	6352/4035/7153/7345/332/4067/3383/2308/2200/5925/11334/4085/3480/5914/2952/1902/8842/1385/1003/355/7799/100507436/1009/7177/7415/4436/3479/947/1029/4162/6573/367/4582/10252/6654/57007/6591/6297/9332/6648/9141/57125/55893/5361/1719	45
X5	DOID:8692	myeloid leukemia	20/481	142/8007	0.000297310015590315	0.0150654105649447	0.0120390439896224	4629/332/4067/5925/6502/3480/5914/355/3479/1029/8837/4582/4297/8829/4763/8805/6347/80010/9141/8863	20
X5	DOID:1037	lymphoblastic leukemia	45/481	443/8007	0.00031550598041769	0.0150654105649447	0.0120390439896224	7153/2621/4067/196/4683/1535/3613/5925/1612/8836/4680/2952/6790/5550/5610/9308/5141/355/440/283/10563/3560/914/1524/3077/4208/947/1029/6772/4200/23635/6573/4582/4297/8829/6777/8871/151011/3495/6347/4088/55213/57103/958/1719	45
X5	DOID:3910	lung adenocarcinoma	23/481	178/8007	0.000389993486561373	0.0167057173835776	0.0133498430455704	6352/3925/9133/196/2591/6280/3480/3162/2952/842/1846/1917/1890/3572/283/23405/5764/1029/8837/4582/8038/6648/51029	23
X5	DOID:5041	esophageal cancer	20/481	145/8007	0.000393590200136645	0.0167057173835776	0.0133498430455704	332/7158/5925/1612/858/6280/4123/5914/355/7507/4436/3479/1029/9590/367/4582/6648/6347/8877/5918	20
X5	DOID:0060084	cell type benign neoplasm	47/481	475/8007	0.000422620124726394	0.0169937776468929	0.013580037248826	8140/7153/4629/1994/332/9133/2308/196/133/5925/1612/11334/3480/3162/2487/5914/2952/1902/6424/1031/1385/355/3572/10849/2690/7507/100507436/1009/3964/4436/3479/947/1029/8837/4162/367/4582/8829/6925/8773/6648/7249/8554/4088/79960/55422/5361	47
X5	DOID:9952	acute lymphocytic leukemia	10/481	49/8007	0.000547600620401583	0.0208643091014863	0.0166730494335382	7153/4683/1535/5925/440/1029/23635/6573/4297/6347	10
X5	DOID:9119	acute myeloid leukemia	16/481	107/8007	0.000602729077826176	0.0208643091014863	0.0166730494335382	4629/332/5925/6502/3480/5914/355/3479/1029/8837/4297/8829/4763/8805/6347/80010	16
X5	DOID:526	Human immunodeficiency virus infectious disease	22/481	173/8007	0.000647317211802946	0.0208643091014863	0.0166730494335382	6352/4035/332/3383/1535/7412/3561/60489/355/7433/1230/10563/3560/5062/4208/5764/947/6591/6648/2908/6347/6376	22
X5	DOID:986	alopecia areata	7/481	26/8007	0.000652998738386925	0.0208643091014863	0.0166730494335382	3383/355/100507436/11168/2210/6347/958	7
X5	DOID:4450	renal cell carcinoma	36/481	342/8007	0.000655423322559778	0.0208643091014863	0.0166730494335382	4035/7345/1994/332/2621/3910/7083/4683/7159/1612/4085/6502/3480/2952/5550/3455/3249/283/9370/4436/3479/947/1029/6772/27101/10395/27429/367/4582/8829/29072/57007/7021/6648/6347/6421	36
X5	DOID:2043	hepatitis B	24/481	197/8007	0.000700576031574041	0.0214096035249027	0.0171088041394924	6352/2114/7072/332/6502/3162/60489/5610/3667/355/10875/1230/100507436/3077/9370/1116/1029/6772/10395/367/6347/4088/64778/57506	24
X5	DOID:201	connective tissue cancer	38/481	370/8007	0.000750592406259543	0.0216248158691347	0.0172807842437285	6352/4035/7153/7345/332/4067/3383/2200/5925/11334/4085/3480/5914/2952/1902/8842/1385/1003/355/7799/100507436/1009/7177/7415/3479/947/1029/4162/6573/367/4582/6297/6648/9141/57125/55893/5361/1719	38
X5	DOID:4948	gallbladder carcinoma	10/481	51/8007	0.000764227785951095	0.0216248158691347	0.0172807842437285	7153/5925/6502/9308/355/4436/947/1029/8837/4582	10
X5	DOID:2513	basal cell carcinoma	7/481	27/8007	0.000836574330945026	0.0228265281729286	0.0182410944341397	6352/6280/3480/7507/1029/8837/4582	7
X5	DOID:3121	gallbladder cancer	10/481	52/8007	0.000896454614666491	0.0236169422622482	0.0188727287298209	7153/5925/6502/9308/355/4436/947/1029/8837/4582	10
X5	DOID:2316	brain ischemia	6/481	21/8007	0.00113800892553639	0.0289812939703266	0.0231594798881089	7072/1994/3480/355/185/6505	6
